Vehicle_Type,Sex_of_Driver,Age_of_Driver
9,2,74.0
11,1,42.0
11,1,35.0
9,1,62.0
9,2,49.0
3,1,49.0
9,1,51.0
3,2,30.0
3,1,31.0
9,1,41.0
9,1,68.0
9,1,35.0
9,2,48.0
11,1,42.0
9,1,34.0
9,2,19.0
3,2,20.0
9,2,47.0
9,1,34.0
9,1,33.0
5,1,42.0
11,1,57.0
5,1,54.0
9,1,44.0
9,1,27.0
3,1,26.0
5,1,33.0
9,1,31.0
9,1,28.0
9,2,37.0
1,2,25.0
9,1,43.0
5,1,59.0
3,1,40.0
9,1,54.0
9,1,59.0
9,1,41.0
1,1,47.0
9,1,29.0
4,2,28.0
9,1,39.0
9,1,40.0
5,2,33.0
3,1,24.0
5,1,28.0
1,1,31.0
4,1,43.0
9,1,40.0
3,2,23.0
9,1,46.0
9,1,43.0
9,2,29.0
9,1,29.0
9,2,36.0
1,1,37.0
1,1,50.0
9,1,45.0
9,1,25.0
3,1,28.0
9,1,59.0
9,1,38.0
5,1,39.0
9,1,23.0
9,1,35.0
8,1,42.0
11,1,56.0
5,1,28.0
9,1,72.0
9,2,26.0
9,1,70.0
1,2,65.0
3,1,50.0
11,1,35.0
9,1,19.0
9,1,22.0
9,2,54.0
9,2,35.0
19,1,21.0
11,1,45.0
5,1,25.0
21,1,57.0
1,2,36.0
11,1,30.0
9,1,49.0
8,1,58.0
1,1,14.0
9,1,29.0
9,1,41.0
9,2,59.0
5,1,43.0
19,1,24.0
9,1,58.0
9,1,24.0
9,1,66.0
1,2,59.0
3,1,19.0
9,1,29.0
9,1,29.0
9,1,32.0
9,3,34.0
9,1,19.0
3,1,29.0
9,1,58.0
9,2,39.0
3,1,39.0
9,1,40.0
3,2,36.0
9,1,42.0
8,1,63.0
9,1,55.0
9,2,32.0
1,1,26.0
9,2,33.0
3,1,22.0
9,2,40.0
1,1,29.0
20,1,30.0
11,1,51.0
9,2,77.0
1,1,54.0
9,1,45.0
19,1,22.0
3,1,26.0
9,1,38.0
5,1,24.0
2,2,35.0
1,1,52.0
2,1,31.0
9,1,39.0
1,2,26.0
9,1,29.0
9,2,23.0
19,1,47.0
9,1,41.0
2,1,35.0
8,1,34.0
1,1,74.0
9,1,36.0
1,1,29.0
11,1,49.0
9,2,38.0
19,1,27.0
9,1,47.0
1,1,34.0
5,1,38.0
3,1,42.0
9,1,40.0
9,2,39.0
9,1,34.0
9,2,37.0
4,2,21.0
9,1,23.0
1,1,40.0
5,1,32.0
21,1,43.0
9,1,40.0
9,1,32.0
9,1,48.0
9,1,47.0
11,1,54.0
9,1,37.0
9,2,57.0
1,2,44.0
4,1,53.0
19,1,23.0
9,2,43.0
9,2,49.0
9,2,37.0
5,1,34.0
5,1,30.0
3,1,33.0
9,1,38.0
9,2,51.0
9,1,54.0
11,1,33.0
9,2,46.0
5,1,79.0
1,1,29.0
2,1,27.0
9,1,36.0
9,1,51.0
9,1,62.0
8,1,58.0
9,1,19.0
19,1,41.0
4,1,24.0
19,1,28.0
5,1,48.0
9,2,39.0
9,1,66.0
9,2,27.0
9,1,25.0
9,2,20.0
1,2,31.0
5,1,33.0
9,1,66.0
2,1,40.0
19,1,27.0
9,2,39.0
9,1,25.0
3,2,45.0
9,1,39.0
1,1,12.0
9,2,54.0
1,2,30.0
9,1,42.0
9,1,34.0
5,1,31.0
5,1,37.0
9,2,41.0
9,1,37.0
3,1,21.0
11,1,59.0
9,1,31.0
1,1,21.0
10,1,49.0
1,1,36.0
3,2,36.0
19,1,36.0
5,1,33.0
9,1,23.0
5,1,30.0
9,1,49.0
9,1,31.0
9,2,30.0
9,1,24.0
8,1,35.0
1,1,13.0
9,1,24.0
3,1,45.0
9,1,32.0
9,1,33.0
8,1,51.0
1,1,44.0
5,1,35.0
9,2,52.0
5,1,31.0
1,1,34.0
9,2,29.0
1,1,61.0
1,2,32.0
9,1,74.0
9,2,59.0
3,2,38.0
9,1,20.0
3,1,20.0
9,1,32.0
3,1,34.0
9,2,27.0
1,1,52.0
9,1,39.0
1,2,27.0
9,2,38.0
9,2,36.0
9,1,24.0
3,1,45.0
9,2,27.0
3,1,34.0
9,1,27.0
9,1,42.0
9,2,30.0
9,1,30.0
9,1,37.0
8,1,49.0
1,2,27.0
19,1,41.0
5,1,49.0
9,2,37.0
1,1,36.0
5,1,30.0
9,2,30.0
11,1,44.0
5,1,34.0
3,1,28.0
9,1,38.0
9,1,42.0
8,1,34.0
1,1,28.0
19,1,41.0
1,2,25.0
9,1,41.0
11,1,22.0
19,1,29.0
19,1,51.0
9,1,31.0
1,1,8.0
11,1,40.0
9,1,62.0
3,1,36.0
9,1,27.0
3,1,28.0
3,1,49.0
9,2,41.0
9,2,27.0
9,2,38.0
19,1,51.0
1,1,45.0
19,1,49.0
1,2,24.0
9,1,39.0
9,2,36.0
9,1,47.0
9,2,54.0
3,1,31.0
8,1,41.0
4,1,41.0
9,2,34.0
8,1,48.0
9,2,21.0
9,1,48.0
9,2,34.0
9,2,30.0
5,1,21.0
3,1,30.0
9,1,45.0
9,2,32.0
9,2,35.0
5,1,24.0
9,2,49.0
1,1,18.0
11,1,37.0
11,1,23.0
5,1,29.0
9,1,36.0
9,1,46.0
9,1,27.0
9,1,44.0
9,2,39.0
4,1,28.0
9,1,36.0
1,1,28.0
8,1,62.0
9,1,42.0
1,1,21.0
9,1,53.0
9,2,24.0
