,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
0,200501BS00001,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,94.0,10.0,,,,7.0,1.0
1,200501BS00002,1,11,0.0,4,0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,62.0,7.0,8268.0,2.0,3.0,,
2,200501BS00003,1,11,0.0,17,0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1,55.0,6.0,8300.0,2.0,5.0,2.0,1.0
3,200501BS00003,2,9,0.0,2,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,82.0,9.0,1762.0,1.0,6.0,1.0,1.0
4,200501BS00004,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,69.0,8.0,1769.0,1.0,4.0,2.0,1.0
5,200501BS00005,1,3,0.0,18,0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,15.0,1,69.0,8.0,85.0,1.0,10.0,,
6,200501BS00006,1,9,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,71.0,8.0,2976.0,1.0,1.0,4.0,1.0
7,200501BS00006,2,3,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2,50.0,6.0,124.0,1.0,2.0,1.0,1.0
8,200501BS00007,1,3,0.0,18,0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,15.0,1,51.0,6.0,,,,,
9,200501BS00007,2,9,0.0,2,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,61.0,7.0,4266.0,1.0,4.0,6.0,1.0
10,200501BS00009,1,9,0.0,18,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,1,88.0,10.0,5343.0,1.0,16.0,6.0,1.0
11,200501BS00010,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,55.0,6.0,1998.0,1.0,13.0,3.0,1.0
12,200501BS00010,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,68.0,8.0,,,,5.0,1.0
13,200501BS00011,1,11,0.0,9,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,62.0,7.0,8268.0,2.0,2.0,2.0,1.0
15,200501BS00012,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,54.0,6.0,1988.0,1.0,6.0,4.0,1.0
16,200501BS00014,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,39.0,4.0,1124.0,1.0,8.0,8.0,1.0
17,200501BS00014,2,3,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,40.0,4.0,124.0,1.0,1.0,,
18,200501BS00015,1,9,0.0,9,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,67.0,8.0,1360.0,1.0,2.0,3.0,1.0
19,200501BS00016,1,9,0.0,18,0,8.0,0.0,7.0,7.0,1.0,1.0,1.0,15.0,1,54.0,6.0,698.0,1.0,2.0,7.0,1.0
20,200501BS00016,2,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,53.0,6.0,2148.0,2.0,4.0,4.0,1.0
21,200501BS00017,1,5,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,62.0,7.0,1171.0,1.0,2.0,8.0,1.0
22,200501BS00018,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,77.0,9.0,7300.0,2.0,1.0,3.0,1.0
23,200501BS00019,1,5,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,74.0,8.0,599.0,1.0,6.0,5.0,1.0
24,200501BS00019,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,15.0,1,64.0,7.0,,,,8.0,1.0
25,200501BS00020,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,47.0,6.0,1998.0,1.0,7.0,6.0,1.0
26,200501BS00020,2,3,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,46.0,6.0,,,,2.0,1.0
27,200501BS00021,1,5,0.0,13,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,53.0,6.0,599.0,1.0,1.0,7.0,1.0
28,200501BS00021,2,9,0.0,6,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,51.0,6.0,1995.0,2.0,5.0,10.0,1.0
29,200501BS00022,1,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,48.0,6.0,1997.0,1.0,1.0,5.0,1.0
