,Unnamed: 0,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
36191,46504,200501ZD30804,1,9,0.0,8,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,69.0,40.0,1587.0,1.0,8.0,3.0,1.0
33055,42348,200501XH30717,2,9,0.0,16,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,61.0,35.0,1390.0,1.0,8.0,6.0,2.0
17577,22542,200501PL60983,1,19,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,55.0,30.0,2496.0,2.0,6.0,3.0,1.0
6839,8578,200501GD10553,1,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,58.0,35.0,1598.0,1.0,6.0,3.0,1.0
37798,48503,2005030000163,1,9,0.0,17,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,2,48.0,30.0,1598.0,1.0,6.0,5.0,3.0
2470,3010,200501CW10941,2,3,0.0,13,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,54.61635099447558,16.916091924450082,,,,4.0,1.0
38324,49070,2005030000910,2,9,0.0,18,0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,1,49.61635099447558,11.916091924450082,1905.0,2.0,9.0,1.0,1.0
31549,40447,200501XD80736,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,55.61635099447558,16.916091924450082,,2.0,5.0,3.0,1.0
33505,42936,200501YE80268,2,21,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,65.61635099447558,21.916091924450082,,,,8.0,1.0
1658,2021,200501CW10199,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,66.61635099447558,21.916091924450082,8300.0,2.0,5.0,1.0,1.0
32148,41235,200501XH30006,1,9,0.0,13,0,0.0,0.0,10.0,1.0,3.0,4.0,1.0,15.0,1,89.61635099447558,31.91609192445008,,,,8.0,1.0
30151,38595,200501WW50494,1,11,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,69.61635099447558,21.916091924450082,,,,3.0,1.0
8556,10856,200501ID60065,2,5,0.0,18,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,71.61635099447558,26.91609192445008,,,,10.0,1.0
5228,6527,200501EO41379,3,9,0.0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,63.61635099447558,21.916091924450082,1796.0,1.0,4.0,3.0,1.0
5880,7340,200501FH10353,1,5,0.0,17,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,61.61635099447558,21.916091924450082,749.0,1.0,2.0,6.0,1.0
33214,42552,200501XH30845,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,87.61635099447558,31.91609192445008,1794.0,1.0,4.0,5.0,1.0
37564,48238,200501ZT80504,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,62.61635099447558,21.916091924450082,1796.0,1.0,8.0,6.0,1.0
21054,27025,200501RG40197,2,2,0.0,6,0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,40.61635099447558,6.9160919244500825,,,,7.0,1.0
12526,16012,200501KF60551,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,54.61635099447558,16.916091924450082,1390.0,1.0,4.0,7.0,1.0
32865,42117,200501XH30581,2,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,59.61635099447558,16.916091924450082,2499.0,2.0,3.0,4.0,1.0
